usu_cpf,usu_nome,usu_status,usu_senha
7747634699,Alika Whitfield,1,F3ihB7GFATiKODRYLqi5GX16RIKRubMawpuBa7IG2QlyfjhYiO2VWBUMo4FFBbF5iAbCEOHn2BY6z2F02z6AD2xOAEHQi99sNrdF7MBuOh4P49rzeAenkrtE4TevBc7G
86176872134,Benedict Castillo,0,Nlzdpai4kVKygj2nkmqsAWf78I6uJBJ0J3NoJ6dTdjTDccKnzMwRMrNAAnzS7cPlVVWTASzUSUcTijAVBspdtrfTCGf9NLAg4MbDLxHBmxbCER9Lws17v6YTyNMLi0rw
83585008461,Isaac Jacobson,1,qU9K5LGQae7AKxynkyplSIEFcF7xO9IeSutMptPYK2VFDXk8cbrrTi6OFSY97wGGthRhsBmGsmyxmCPah8ncxa63gjKMc7SUK5Yr1MYOh2j5b6XZOGZdM18HI2S5bsl6
13303155628,Maxine Chang,0,SZcKIkzl8ikff1CuSbLRlGY8lPfSLySgPHpixAgkaFrncwU3CjMfsyLSjiKcezU1iy5xM8G9S1uILf8tgrWFuahl8UXuyLe9GmrZlar4x9lCuYYoy2GUFrqS1mNIah1L
49334103762,Todd Clements,1,Yjb4Yj2tOF8dui4lpdDdlDHVWu0t8pQOGt85xASwUYAuCfDWn5snUsPKsiMOHrG5nIwBcFKDV5sUi2dkM6VP8BPl2li6N3RSyr7C6MnfZkYP4QvUmfxoqxInFeh4kWPA
94564109525,Isaiah Hines,1,rUscpiHs8xhXbV3E4OvDtMOyggU7Vlm9goQdYMUOehkhUkIR26KbIiTQMKYXdQpy3XJvFPsx3DpbaYJFEw4YXp8s2ofshj1z3OhzPT1bltmRqfJbP9UyZTOog4Z9Zyez
30372620428,Ava Hahn,0,3n6ZD3QEBCUjBZV9z57nE6SIrr8UqmujEf906pnoRtsF8wPVwwuYNPr96MECxiCp8LbWDNnxYheEUb562hZHJHJeR7hupKOA4hJalnsr50jyp7DlXiEtsUMbqnrKbkXx
45045644365,Joan Gamble,0,LcNLw9Ij6by0lR1Pj4yjv44aRmUAC7rzulpNFfZSTgbJNtDYzIC414RI680XF0P3YrW4udpPVzBuoIUVCnPmG7TNriTCWQkK7vqulDv8NLtbXP03kEyBlVBmXeA2B06t
15093491785,Channing Cotton,0,Rg9GTtWMARFtiwbzBCiVngnB9JbE06hkpSznrycFj2bBBccnsBIg8jr3OKgVpeZmfhRZCgKlAPcaJ0JQm5lwQqOL6FpKMTFrHDJUAafZDOWt01OWYuOI6cvw3cgfIsmL
52924947393,Zahir Reese,1,gHY4VXtzEjYwp98Jruw4fHBq8X5JFAEf0bdhXJZekswqMlyQ7e4FzsRUntLAURUw8pmCyEdDWkeweC0Cv4val1BCYYrmJboAnRfzUqlSzjKUfRNbhBskPBRyU19QpLNH
59070771399,Louis Thomas,1,r0xQaCq4r4aM9l0D6NrYrG4wrQTP93HGtZfHuR1U2LPf6D4RLZdryhK5iyWfTLlm8oXKQgQgsIJ5SLWGyNKMalZlh1sZlPfO4Zb4R0vKULxoPWmPUueMuYABQGBt2aMx
2088477593,Eaton Reynolds,0,RdaPcuPCefbjH1bmjjoQLGV4fMye6Z1OzcXZ6N53Qo2XTG3ijOlfzS8Ddxqf7nWmfK5Du2lGf7RvV6ZTv3gylnwYE5krYl6IcQxD6iu7HI9wmIpJNfIy1ZP0gWAfHysd
